date,close,volume,open,high,low
2021-02-08,44.35,19794300,42.5,44.64,42.22
2021-02-05,42.14,10764270,42.88,42.94,41.94
2021-02-04,42.41,13633790,42.15,42.61,41.8399
2021-02-03,42.04,15174840,41.02,42.2,40.52
2021-02-02,40.83,13118650,40.63,40.905,39.94
2021-02-01,39.935,13143420,40.345,40.41,39.175
2021-01-29,39.99,24192570,42.111,42.5,39.77
2021-01-28,42.55,22174960,42.827,44.2,41.62
2021-01-27,40.91,15279990,40.74,41.65,40.312
2021-01-26,41.25,13388600,40.8,41.39,40.56
2021-01-25,40.38,20281920,41.54,41.73,39.9
2021-01-22,42.14,13544970,41.95,42.29,41.61
2021-01-21,42.59,32185630,43.804,43.98,41.715
2021-01-20,45.18,11661300,45.04,45.65,44.41
2021-01-19,44.75,9706312,44.6,44.9,43.77
2021-01-15,43.89,13211540,45.85,45.98,43.88
2021-01-14,46.29,16310460,45.32,46.8,45.32
2021-01-13,44.43,11390180,44.17,44.64,43.44
2021-01-12,44.08,9053062,42.81,44.17,42.46
2021-01-11,42.7,8988803,42.67,43.2599,42.25
2021-01-08,43.29,9215340,43.58,44.0,43.02
2021-01-07,43.62,9592931,43.8035,44.8399,43.61
2021-01-06,43.54,12318860,43.6,44.28,42.86
2021-01-05,43.4,12294450,41.58,43.6,41.5
2021-01-04,41.63,14710220,43.68,43.7,41.43
2020-12-31,43.25,12683980,44.41,44.5617,43.11
2020-12-30,44.65,9473270,43.635,44.76,43.46
2020-12-29,43.74,9927674,44.45,44.6489,43.55
2020-12-28,43.92,13693200,44.035,44.625,43.75
2020-12-24,43.26,7230607,44.4,44.4165,43.01
2020-12-23,44.11,15284730,43.1,44.69,43.08
2020-12-22,42.97,16602730,44.65,44.79,42.43
2020-12-21,44.055,21879090,43.35,44.42,42.63
2020-12-18,44.74,16333230,45.75,45.95,44.56
2020-12-17,45.88,13785020,46.3,46.4,45.46
2020-12-16,46.0,17369550,46.5,46.91,45.55
2020-12-15,47.46,16836300,47.195,47.56,45.8
2020-12-14,46.72,15745000,49.604,49.65,46.7
2020-12-11,48.36,14770640,49.15,49.89,47.64
2020-12-10,49.64,19020500,46.74,49.71,46.6
2020-12-09,48.02,23325080,49.84,50.0899,46.73
2020-12-08,49.04,17797910,49.02,50.4,48.7201
2020-12-07,49.2,22364650,49.28,50.3544,48.71
2020-12-04,49.24,26300630,50.49,51.31,48.77
2020-12-03,49.91,32545230,47.67,50.97,47.66
2020-12-02,46.73,17745670,45.1,46.73,44.52
2020-12-01,45.32,18860210,45.83,46.5698,45.23
2020-11-30,45.05,23401470,46.465,46.5,44.2
2020-11-27,45.3,14103890,46.2,46.76,45.14
2020-11-25,45.64,24250770,44.49,45.91,43.65
2020-11-24,44.96,29934570,42.708,45.0,42.45
2020-11-23,40.93,21730000,40.175,41.18,40.048
2020-11-20,39.9,15604680,40.71,40.97,39.67
2020-11-19,40.94,18556310,41.0,41.44,40.19
2020-11-18,41.05,22481990,41.49,42.89,41.05
2020-11-17,40.6,19661440,40.0,41.1,39.575
2020-11-16,41.0,28722700,42.18,42.78,40.0501
2020-11-13,38.99,20034690,37.24,39.1,37.08
2020-11-12,36.85,23543720,37.45,38.71,36.56
2020-11-11,38.51,20044090,40.07,40.159,38.1901
2020-11-10,40.05,26596640,40.45,41.63,39.48
2020-11-09,41.32,60942630,41.9,44.06,39.13
2020-11-06,34.68,13194120,34.9,35.15,34.2
2020-11-05,35.35,16192110,33.699,35.46,33.57
2020-11-04,33.34,14812280,34.0,34.25,32.96
2020-11-03,34.02,16309030,34.32,34.68,33.76
2020-11-02,33.78,13901030,34.08,34.1,32.95
2020-10-30,33.86,18795300,33.15,34.02,32.83
2020-10-29,33.57,17257400,32.63,33.75,32.43
2020-10-28,32.6,21822930,33.11,33.66,32.16
2020-10-27,34.17,17594210,35.11,35.65,34.15
2020-10-26,35.34,25924490,37.37,37.4,34.67
2020-10-23,38.01,20690270,37.1,38.1,36.52
2020-10-22,37.24,24747750,35.9,37.45,35.65
2020-10-21,35.54,16092670,35.91,36.14,35.21
2020-10-20,36.06,22578070,36.16,36.59,35.2
2020-10-19,35.5,33094430,34.45,36.55,34.44
2020-10-16,34.16,16210040,34.305,34.58,33.815
2020-10-15,34.25,23651960,35.18,35.38,33.639
2020-10-14,35.61,15064440,35.26,36.33,35.17
2020-10-13,35.26,17302990,35.67,35.95,35.215
2020-10-12,36.38,20202570,36.7,36.99,36.26
2020-10-09,37.12,25311770,37.054,37.8,36.27
2020-10-08,37.0,28333470,37.16,37.69,35.85
2020-10-07,36.38,27677310,36.51,37.22,35.88
2020-10-06,34.88,28719030,36.73,37.09,34.84
2020-10-05,36.2,18046420,36.43,36.5798,35.4201
2020-10-02,36.01,35080990,33.36,36.77,33.27
2020-10-01,35.18,18972220,35.23,35.49,34.5665
2020-09-30,34.75,29441350,34.95,36.22,34.54
2020-09-29,34.51,25029770,35.55,35.61,34.24
2020-09-28,35.94,34828070,35.32,36.9,34.6622
2020-09-25,34.2,21461110,32.56,34.27,32.49
2020-09-24,32.74,24638810,32.785,33.4,31.22
2020-09-23,33.08,21576930,34.28,35.05,33.05
2020-09-22,34.07,16700550,34.15,34.65,33.56
2020-09-21,33.79,29900930,35.4,35.47,33.18
2020-09-18,36.97,32772790,38.16,38.34,36.68
2020-09-17,38.355,31339680,37.69,39.28,37.14
2020-09-16,38.3,33301840,36.9,38.9,36.3601
2020-09-15,36.8,21378240,36.84,37.88,36.38
2020-09-14,36.74,18939880,36.3,36.88,35.84
2020-09-11,36.07,19198710,36.63,36.8,35.48
2020-09-10,36.45,24905320,36.35,37.33,36.18
2020-09-09,36.03,25407620,36.9,37.0803,35.59
2020-09-08,37.28,33207120,37.3,38.48,36.48
2020-09-04,38.21,33121590,38.15,38.7415,36.46
2020-09-03,37.4,53966450,37.13,39.77,36.14
2020-09-02,36.89,26622810,36.1,37.1,35.21
2020-09-01,36.01,29757270,35.25,37.24,34.95
2020-08-31,36.0,27114240,37.25,37.44,35.73
2020-08-28,37.34,35228930,37.14,37.44,35.89
2020-08-27,36.22,51046520,35.5,37.99,35.18
2020-08-26,34.25,23414510,35.26,35.51,34.11
2020-08-25,35.22,39748270,36.44,36.9399,34.48
2020-08-24,36.32,50533590,33.67,36.3869,33.2
2020-08-21,33.04,22730340,33.8,34.44,32.98
2020-08-20,34.05,28196950,33.92,34.39,33.2
2020-08-19,34.44,40587930,34.361,36.56,34.13
2020-08-18,33.98,19070270,34.39,34.88,33.58
2020-08-17,34.4,22574260,36.21,36.3,34.36
2020-08-14,36.18,28384140,35.35,36.5713,35.2
2020-08-13,35.81,35460090,35.745,37.52,35.52
2020-08-12,36.4,35005420,37.55,37.74,35.47
2020-08-11,36.83,56549340,39.64,39.86,36.6604
2020-08-10,37.54,48876390,34.65,37.55,34.64
2020-08-07,34.33,30394460,33.9,34.415,33.45
2020-08-06,34.4,51250740,34.25,35.03,33.23
2020-08-05,33.73,49260750,33.31,34.57,32.17
2020-08-04,32.29,30010100,32.014,33.7,32.01
2020-08-03,31.87,35214420,31.33,32.28,30.3185
2020-07-31,31.38,29612060,31.69,31.77,30.69
2020-07-30,31.74,31536800,32.03,32.28,31.55
2020-07-29,32.57,31122770,33.61,34.15,32.215
2020-07-28,33.46,41625350,32.27,34.04,32.27
2020-07-27,32.42,33062560,32.89,33.66,32.05
2020-07-24,32.88,38446610,32.877,33.69,32.47
2020-07-23,33.23,82254210,31.35,35.13,30.95
2020-07-22,31.67,48195750,32.82,33.26,31.63
2020-07-21,33.07,45932070,32.64,33.785,32.46
2020-07-20,32.33,36534210,33.9,34.39,32.18
2020-07-17,33.92,37397500,34.27,34.98,33.48
2020-07-16,34.49,53333160,34.6,35.38,33.88
2020-07-15,36.37,84741890,34.13,36.78,33.1602
2020-07-14,31.74,44172200,30.7,32.32,30.42
2020-07-13,31.76,56572980,33.23,33.37,31.01
2020-07-10,32.67,80475540,29.38,32.9,29.23
2020-07-09,30.17,53324020,32.0,32.49,29.96
2020-07-08,32.53,55863870,31.62,33.03,31.32
2020-07-07,32.55,47337560,34.07,34.12,32.38
2020-07-06,35.21,46540290,34.76,35.41,33.52
2020-07-02,34.14,53576630,35.88,36.08,33.95
2020-07-01,34.45,87861290,36.92,38.37,34.03
2020-06-30,34.61,54406450,34.6,35.36,33.23
2020-06-29,35.27,64905790,33.2,35.5,31.805
2020-06-26,32.89,58993340,34.5,34.61,32.0
2020-06-25,34.69,72479470,31.35,34.7566,31.03
2020-06-24,33.07,65450850,34.68,35.23,32.62
2020-06-23,36.08,63531780,36.56,36.88,34.37
2020-06-22,36.54,65256610,35.18,37.1,35.0
2020-06-19,36.84,101013900,39.94,40.26,35.7626
2020-06-18,39.34,64927110,37.65,40.2,37.5
2020-06-17,39.25,60125890,39.09,39.77,38.22
2020-06-16,40.21,71155210,42.51,42.75,39.52
2020-06-15,39.0,102434800,36.04,39.87,35.51
2020-06-12,39.66,98882650,37.51,39.68,36.15
2020-06-11,33.32,104768800,33.255,36.38,32.22
2020-06-10,39.72,105254900,42.04,42.6,38.3
2020-06-09,44.64,79612840,45.0,46.1,41.5
2020-06-08,48.69,89957310,45.86,48.85,44.57
2020-06-05,42.405,135585100,48.95,48.95,41.26
2020-06-04,39.1,142812800,35.77,39.85,34.14
2020-06-03,33.65,85543750,30.75,33.9,30.39
2020-06-02,29.91,47473420,30.12,30.92,29.31
2020-06-01,29.46,57585070,28.19,30.29,27.9534
2020-05-29,28.04,64483620,27.11,28.88,26.65
2020-05-28,28.89,57401180,30.0,30.0,28.53
2020-05-27,30.69,89323150,32.25,32.75,28.535
2020-05-26,29.54,88220680,27.48,29.88,27.45
2020-05-22,25.4,45062050,26.38,26.58,24.67
2020-05-21,25.84,53737290,25.09,26.58,25.0
2020-05-20,24.91,56271960,24.38,25.39,24.3
2020-05-19,23.68,81387950,25.62,25.67,23.33
2020-05-18,24.13,72914840,21.79,24.26,21.46
2020-05-15,19.92,39807950,19.67,20.9599,19.28
2020-05-14,20.3,74107760,19.72,20.43,18.18
2020-05-13,20.71,59007860,22.51,22.64,20.33
2020-05-12,22.76,40420910,23.95,24.4627,22.74
2020-05-11,23.97,47485790,24.5,24.64,23.46
2020-05-08,25.42,55613250,23.58,25.44,23.32
2020-05-07,22.75,44179280,22.96,24.45,22.4498
2020-05-06,22.91,43355300,23.96,24.35,22.385
2020-05-05,24.12,35651670,26.04,26.35,23.98
2020-05-04,25.26,63152400,23.91,25.56,22.76
2020-05-01,26.62,47710310,28.1,29.25,26.13
2020-04-30,29.58,44896850,29.66,31.07,28.32
2020-04-29,31.21,52643460,29.58,31.84,29.49
2020-04-28,27.84,59812100,25.86,28.43,25.5
2020-04-27,25.0,35980030,25.985,26.34,24.87
2020-04-24,25.56,34850730,25.92,26.15,24.67
2020-04-23,25.72,35812490,26.0,26.56,25.66
2020-04-22,25.88,90730570,27.3,27.66,25.01
2020-04-21,27.88,28293240,27.01,28.36,26.76
2020-04-20,27.79,37041700,27.927,28.67,26.69
2020-04-17,29.08,26829600,29.9,30.11,28.86
2020-04-16,28.21,44795630,30.348,30.49,27.92
2020-04-15,31.86,46775180,31.97,32.6,29.88
2020-04-14,30.9,28650560,30.52,32.21,30.38
2020-04-13,28.91,36493670,32.63,32.7,27.59
2020-04-09,31.5,54118480,29.92,34.04,29.57
2020-04-08,27.51,32657740,25.65,27.54,24.51
2020-04-07,24.48,43809290,28.2,28.69,23.7241
2020-04-06,24.02,32386710,23.9,24.8,21.8
2020-04-03,22.885,28350250,24.2165,24.9395,21.56
2020-04-02,23.42,25212820,25.24,26.09,23.0
2020-04-01,25.65,27541550,29.51,29.69,25.3601
2020-03-31,31.55,16568760,31.31,33.605,30.5831
2020-03-30,30.16,18386440,30.69,31.8,28.0
2020-03-27,32.84,18379570,35.02,35.2,32.03
2020-03-26,35.55,29647800,38.38,39.78,34.53
2020-03-25,36.6,32988800,38.0,39.47,33.29
2020-03-24,33.0,31502490,31.99,34.15,30.01
2020-03-23,26.25,25585770,25.97,26.6,23.37
2020-03-20,24.5,37407970,23.37,30.74,22.2
2020-03-19,21.28,31611170,21.34,23.99,18.09
2020-03-18,21.38,35372670,28.81,28.97,17.8
2020-03-17,30.67,21078870,36.49,38.14,30.05
2020-03-16,35.47,28259540,34.34,39.37,30.38
2020-03-13,41.64,24135260,41.33,42.49,34.0
2020-03-12,37.08,19423640,42.77,44.31,37.01
2020-03-11,49.34,10917060,50.53,51.23,48.05
2020-03-10,52.56,15642910,51.0,54.33,46.62
2020-03-09,46.78,12307560,49.585,50.99,45.915
2020-03-06,52.1,16492240,48.61,56.0,48.2601
2020-03-05,51.59,13974730,57.11,57.16,50.93
2020-03-04,59.47,10671200,59.51,59.74,56.315
2020-03-03,58.29,9208799,63.14,63.53,57.96
2020-03-02,61.26,13015180,61.13,61.27,57.0425
2020-02-28,61.59,9957999,62.85,64.8799,60.825
2020-02-27,64.94,10257090,62.9,69.02,61.2
2020-02-26,66.53,9372177,71.75,71.91,65.89
2020-02-25,70.57,8076210,75.76,76.18,70.32
2020-02-24,75.47,6332868,75.08,76.02,73.65
2020-02-21,78.01,4545057,79.4,79.4,77.32
2020-02-20,79.91,2893884,79.3,81.67,79.3
2020-02-19,79.42,3350290,80.94,80.94,79.19
2020-02-18,80.24,4183723,79.0,80.625,78.65
2020-02-14,79.55,3119656,81.02,81.44,79.4
2020-02-13,80.99,2998888,81.0,81.74,80.37
2020-02-12,82.2,2907099,81.08,82.6,81.0
2020-02-11,80.53,2763727,80.02,81.45,79.945
2020-02-10,79.47,3492868,78.95,79.61,77.78
2020-02-07,79.48,3129720,80.0,80.24,78.65
2020-02-06,80.5,5218811,82.4,82.7211,79.79
2020-02-05,81.85,6993789,80.76,82.36,80.05
2020-02-04,78.89,6423869,76.64,79.53,76.5
2020-02-03,74.91,3951366,75.49,77.1199,74.88
2020-01-31,74.8,5196562,77.17,77.29,74.52
2020-01-30,77.75,5900393,74.66,77.98,74.44
2020-01-29,75.21,5512397,77.4,77.4899,75.01
2020-01-28,77.05,7575578,78.25,78.475,77.0
2020-01-27,77.63,8671260,78.0,78.46,76.55
2020-01-24,81.9,6869764,84.31,84.73,80.28
2020-01-23,84.88,6194380,83.0,85.17,81.06
2020-01-22,83.34,8453244,86.75,87.565,83.15
2020-01-21,85.79,9546684,87.88,88.0,84.57
2020-01-17,89.7,4221217,89.8,90.1,88.96
2020-01-16,89.54,2427506,88.79,89.715,88.78
2020-01-15,88.29,1878934,87.61,88.8,87.25
2020-01-14,87.85,3243640,88.17,89.64,87.71
2020-01-13,86.89,2707860,87.31,87.67,86.7
2020-01-10,87.31,2035663,88.04,88.26,86.97
2020-01-09,87.95,2252191,87.72,88.72,87.5
2020-01-08,87.3,4153259,86.9,88.45,86.3
2020-01-07,86.77,2594744,87.41,88.16,86.74
2020-01-06,87.7,2652773,86.72,88.07,86.65
2020-01-03,87.9,3562918,86.8,88.16,86.26
2020-01-02,89.74,2671623,89.57,90.57,89.105
2019-12-31,88.09,2073700,87.71,88.46,87.71
2019-12-30,87.96,1799897,88.51,88.8599,87.51
2019-12-27,88.37,1402073,89.31,89.389,88.01
2019-12-26,89.26,1041642,89.3,89.715,88.8
2019-12-24,89.15,771149,89.46,89.63,88.66
2019-12-23,89.44,1906056,89.72,90.1,89.28
2019-12-20,89.28,3026482,89.37,89.9,89.05
2019-12-19,89.22,2172531,89.28,89.78,89.0501
2019-12-18,88.84,1876903,89.5,89.98,88.36
2019-12-17,89.36,2218406,88.57,89.99,88.3501
2019-12-16,88.63,2090200,87.95,89.46,87.95
2019-12-13,87.58,1972842,88.2,89.43,87.42
2019-12-12,88.47,2903831,87.7,89.9,87.32
2019-12-11,87.02,2418182,86.47,87.15,86.08
2019-12-10,86.51,1994909,87.58,87.92,86.36
2019-12-09,87.61,2235201,88.49,88.58,87.3
2019-12-06,88.58,1485328,88.79,89.5,88.55
2019-12-05,87.86,1959655,89.1,89.33,87.6
2019-12-04,88.17,2072411,89.16,89.81,88.13
2019-12-03,88.87,3393153,90.6,90.775,88.5
2019-12-02,91.63,1941963,93.0,93.62,91.44
2019-11-29,92.8,905807,92.8,93.49,92.51
2019-11-27,93.05,1602154,93.06,93.67,92.77
2019-11-26,92.76,2043490,92.48,92.92,92.02
2019-11-25,92.52,1941650,92.11,93.13,91.55
2019-11-22,91.78,1440399,91.1,91.94,90.94
2019-11-21,90.97,1630935,91.88,92.11,90.77
2019-11-20,91.7,3133884,92.75,93.46,90.85
2019-11-19,93.29,1606663,93.13,93.72,92.42
2019-11-18,92.77,1808656,92.45,92.79,91.45
2019-11-15,92.51,1552721,93.0,93.5,92.32
2019-11-14,92.52,1051767,92.75,92.95,91.9
2019-11-13,92.42,1863345,92.62,92.98,92.04
2019-11-12,92.72,1543614,93.44,93.88,92.66
2019-11-11,93.53,1127088,92.85,93.82,92.67
2019-11-08,93.44,914941,93.81,93.86,92.605
2019-11-07,93.8,3014104,94.0,95.16,93.56
2019-11-06,93.34,1179340,93.42,93.6,92.58
2019-11-05,93.12,2623950,92.63,93.62,92.46
2019-11-04,92.39,1905931,92.31,92.96,92.03
2019-11-01,91.65,2248324,91.65,92.52,91.29
2019-10-31,90.84,1997503,91.12,91.4,90.41
2019-10-30,91.67,1694758,91.05,91.89,90.41
2019-10-29,91.03,1552535,91.88,92.38,90.9
2019-10-28,92.19,1841018,91.83,92.8,91.78
2019-10-25,91.64,2218463,89.68,91.84,89.67
2019-10-24,89.81,2294969,90.59,91.51,89.22
2019-10-23,89.9,1644482,89.65,90.17,88.95
2019-10-22,89.71,2033340,90.68,91.05,89.62
2019-10-21,90.78,2066314,90.49,91.5,90.49
2019-10-18,90.085,2722683,89.43,90.755,89.33
2019-10-17,89.46,2493214,90.2,90.4068,88.93
2019-10-16,89.7,6805187,89.35,90.84,88.22
2019-10-15,87.88,4746893,87.28,88.66,86.68
2019-10-14,86.97,3457479,87.11,87.15,86.24
2019-10-11,87.15,2461176,88.52,89.13,87.12
2019-10-10,87.34,2830522,85.39,87.76,84.73
2019-10-09,86.46,3163430,85.74,87.51,85.73
2019-10-08,84.69,2575541,84.25,86.12,83.9
2019-10-07,84.85,2124385,83.61,85.26,83.61
2019-10-04,84.29,1957962,83.53,84.47,83.12
2019-10-03,83.27,2768483,83.61,83.61,80.87
2019-10-02,83.69,4346907,86.0,86.85,82.0552
2019-10-01,87.84,2429757,89.15,90.19,87.23
2019-09-30,88.41,1959398,88.4,88.98,87.91
2019-09-27,88.14,1668260,88.85,90.3,87.82
2019-09-26,88.45,1306010,89.38,89.55,87.77
2019-09-25,89.17,1744522,88.24,89.88,88.24
2019-09-24,88.3,1563720,88.97,89.2,87.51
2019-09-23,88.21,3178752,88.62,88.88,87.42
2019-09-20,89.09,2764305,89.47,90.0507,88.92
2019-09-19,89.42,2367602,90.35,90.62,89.18
2019-09-18,90.23,2174822,89.7,90.29,88.94
2019-09-17,89.98,3635129,89.38,91.26,88.79
2019-09-16,88.76,3438150,88.3,90.1273,88.17
2019-09-13,91.35,3000707,90.41,91.84,89.75
2019-09-12,89.38,2724658,88.68,89.83,88.55
2019-09-11,88.38,2431520,87.62,88.87,87.17
2019-09-10,87.56,1711943,87.2,87.785,86.605
2019-09-09,87.33,2123125,86.49,87.73,85.91
2019-09-06,86.3,2345125,86.37,87.44,86.2
2019-09-05,85.84,2968888,84.69,86.87,84.69
2019-09-04,83.91,2739635,83.0,84.86,83.0
2019-09-03,83.15,2350081,83.64,83.76,82.25
2019-08-30,84.31,1929469,85.2,85.68,84.09
2019-08-29,84.69,4085102,83.23,85.13,83.23
2019-08-28,82.45,2299537,81.52,82.99,81.17
2019-08-27,81.94,2213751,84.28,84.705,81.75
2019-08-26,83.58,1851387,83.42,83.63,82.45
2019-08-23,82.53,3674673,85.06,85.65,82.22
2019-08-22,85.56,1310135,85.3,85.87,84.69
2019-08-21,85.29,1672641,84.67,85.67,84.626
2019-08-20,84.03,1495009,83.65,84.43,83.21
2019-08-19,83.89,2268781,84.02,84.93,83.805
2019-08-16,82.94,2294252,82.25,83.31,81.84
2019-08-15,81.62,3236384,82.04,82.23,80.828
2019-08-14,81.95,3250818,83.05,83.58,80.78
2019-08-13,84.56,2669290,84.15,86.28,83.525
2019-08-12,84.71,2185046,86.24,86.24,83.95
2019-08-09,86.98,2078719,87.46,87.83,86.1
2019-08-08,87.63,1419870,86.71,87.98,86.59
2019-08-07,86.48,2380052,84.72,86.96,84.03
2019-08-06,85.46,2369853,85.91,86.5722,84.97
2019-08-05,85.59,3721837,88.88,88.88,84.8
2019-08-02,89.43,2281848,90.01,90.245,88.83
2019-08-01,90.49,2518736,92.03,93.04,89.73
2019-07-31,91.91,2125262,93.56,93.82,91.48
2019-07-30,93.93,1717369,92.83,93.97,92.48
2019-07-29,93.44,1957136,93.44,94.05,93.13
2019-07-26,93.36,1684835,94.02,94.44,93.23
2019-07-25,93.93,3196204,94.19,95.11,92.96
2019-07-24,95.11,2344366,94.91,95.455,94.24
2019-07-23,94.93,2105228,94.14,94.98,93.75
2019-07-22,93.83,2305149,94.07,95.06,93.77
2019-07-19,93.83,3361100,95.38,96.03,93.54
2019-07-18,95.28,3300545,94.32,95.48,93.88
2019-07-17,94.78,6019468,94.03,95.246,92.34
2019-07-16,93.92,4706092,91.81,94.4999,91.8
2019-07-15,91.32,2388252,91.6,92.43,91.15
2019-07-12,91.23,2895023,89.7,91.52,89.625
2019-07-11,89.48,2262280,89.51,90.6,89.0
2019-07-10,89.51,2395319,90.31,91.07,88.92
2019-07-09,89.46,3912846,90.38,90.93,89.21
2019-07-08,90.67,2514955,90.16,91.48,90.1
2019-07-05,90.59,3227673,90.39,90.95,89.07
2019-07-03,90.67,1647124,89.14,91.08,89.14
2019-07-02,88.87,2237183,89.21,90.0,87.95
2019-07-01,88.45,4017249,88.84,89.72,87.77
2019-06-28,87.55,3025379,86.66,87.74,86.66
2019-06-27,86.43,1394847,85.65,86.86,85.13
2019-06-26,85.33,2034693,85.38,85.81,84.75
2019-06-25,85.06,2481284,86.63,87.23,84.81
2019-06-24,86.55,1507828,86.78,87.11,86.055
2019-06-21,86.72,2461939,86.31,88.16,86.31
2019-06-20,87.14,3261860,89.32,89.41,85.89
2019-06-19,88.66,2091617,87.76,88.88,87.14
2019-06-18,87.4,1694109,87.42,88.66,87.105
2019-06-17,86.77,1820598,87.27,87.56,86.31
2019-06-14,87.12,1652511,87.07,87.91,86.01
2019-06-13,87.11,3864970,84.05,87.74,84.05
2019-06-12,83.79,1999992,82.86,84.29,82.84
2019-06-11,82.77,1894357,83.34,83.78,82.07
2019-06-10,82.67,1697764,83.62,84.5397,82.57
2019-06-07,83.27,1475833,83.09,84.85,83.09
2019-06-06,82.96,2390326,83.14,84.01,81.9297
2019-06-05,81.85,2002536,80.94,81.98,80.49
2019-06-04,80.52,3026503,78.86,80.67,78.55
2019-06-03,77.72,2065458,77.38,78.73,77.35
2019-05-31,77.65,3554131,78.52,79.52,77.4
2019-05-30,79.47,1528867,79.29,80.4,79.04
2019-05-29,79.25,3133154,79.5,79.5301,78.1
2019-05-28,79.81,2242085,80.5,80.79,79.66
2019-05-24,80.79,2266313,81.25,81.75,80.47
2019-05-23,80.91,2231069,81.3,81.96,79.77
2019-05-22,81.88,1505934,82.4,83.0,81.7
2019-05-21,82.97,2162609,82.5,83.365,82.4237
2019-05-20,81.74,2355552,81.39,82.48,81.0
2019-05-17,81.5,2857897,82.13,82.47,81.23
2019-05-16,82.58,1803357,82.42,83.65,82.05
2019-05-15,82.35,2371011,82.4,83.265,81.33
2019-05-14,83.45,1928510,82.26,83.77,81.93
2019-05-13,82.07,3908145,83.03,83.19,81.44
2019-05-10,84.79,2841876,83.5,85.19,80.99
2019-05-09,84.12,2329400,83.84,84.15,81.81
2019-05-08,84.64,1900461,85.25,86.09,84.245
2019-05-07,85.68,2400047,86.75,86.76,84.62
2019-05-06,87.79,1620399,87.14,88.03,86.52
2019-05-03,88.5,1164969,88.5,89.06,88.27
2019-05-02,88.31,1868571,88.06,89.29,88.01
2019-05-01,87.94,2239578,89.06,89.71,87.78
2019-04-30,88.86,2688182,89.66,90.16,88.64
2019-04-29,89.61,2561856,88.02,89.88,88.02
2019-04-26,87.94,1544867,86.56,88.43,86.49
2019-04-25,86.86,2151834,87.57,89.15,86.67
2019-04-24,88.03,2041270,88.1,88.958,87.61
2019-04-23,87.97,2220782,87.49,88.5,87.26
2019-04-22,87.56,2060637,87.77,88.55,87.15
2019-04-18,88.28,3391016,89.67,89.81,87.46
2019-04-17,89.24,6419516,87.94,89.73,87.285
2019-04-16,85.17,3723242,84.81,85.67,84.39
2019-04-15,84.52,2246409,85.31,85.43,84.08
2019-04-12,85.49,4507329,86.19,86.5,85.3
2019-04-11,85.75,2570204,84.56,86.42,84.56
2019-04-10,84.52,3539454,85.33,85.55,83.61
2019-04-09,84.25,2016477,84.09,84.64,83.455
2019-04-08,84.58,1853037,84.6,85.12,83.8
2019-04-05,84.91,3018089,84.95,85.75,84.52
2019-04-04,84.64,1748396,84.51,85.27,83.54
2019-04-03,84.2,4046961,83.25,84.92,83.1
2019-04-02,82.77,3781034,83.19,85.1,82.34
2019-04-01,80.87,2524897,80.21,81.69,79.56
2019-03-29,79.78,2449397,79.05,80.05,78.585
2019-03-28,78.6,1563094,78.99,79.29,77.78
2019-03-27,78.53,2368232,77.54,79.57,77.5
2019-03-26,77.49,3061180,78.46,78.82,77.02
2019-03-25,78.12,4721849,79.68,80.01,78.09
2019-03-22,79.63,3145611,80.64,80.77,78.75
2019-03-21,81.0,2330211,80.29,81.46,79.69
2019-03-20,79.83,4509342,81.18,81.4,79.79
2019-03-19,81.34,2331806,80.93,81.865,80.745
2019-03-18,80.73,2780180,81.39,81.74,80.5
2019-03-15,81.69,4860337,81.76,82.48,81.38
2019-03-14,81.49,1815213,81.2,82.06,81.09
2019-03-13,81.21,3445372,80.5,81.4,79.88
2019-03-12,79.85,5992881,82.67,82.91,79.59
2019-03-11,82.38,5038113,81.94,82.53,81.74
2019-03-08,82.4,2316209,81.99,82.9,81.62
2019-03-07,82.61,4554755,83.98,84.2,81.95
2019-03-06,84.33,2534778,84.89,85.68,84.265
2019-03-05,85.05,2779494,84.64,85.72,83.82
2019-03-04,84.31,4073497,87.1,87.24,83.27
2019-03-01,86.92,3699441,88.46,88.62,85.37
2019-02-28,87.81,1966375,87.9,88.7,87.22
2019-02-27,87.6,2459476,88.92,89.26,86.84
2019-02-26,89.53,3845223,89.57,90.93,89.04
2019-02-25,89.58,1573382,90.05,90.6,89.38
2019-02-22,89.43,1907562,88.94,89.65,88.65
2019-02-21,88.84,1957929,88.37,89.45,88.25
2019-02-20,88.5,2656784,88.28,89.24,87.29
2019-02-19,89.24,2224227,87.87,89.82,87.82
2019-02-15,88.31,2229697,89.35,89.35,88.11
2019-02-14,88.15,1482559,88.27,88.74,87.5
2019-02-13,88.58,3676041,88.28,88.9,87.94
2019-02-12,87.97,2791361,89.89,90.2699,87.88
2019-02-11,89.15,2347118,88.86,89.45,88.17
2019-02-08,88.17,2151792,87.34,88.19,86.66
2019-02-07,87.86,3116784,89.33,89.84,87.67
2019-02-06,89.75,2144490,89.14,89.88,88.41
2019-02-05,89.46,2793537,88.72,89.82,88.62
2019-02-04,88.62,2376692,87.47,88.63,87.28
2019-02-01,87.49,1797238,87.21,88.57,87.17
2019-01-31,87.27,3418981,87.56,88.15,86.785
2019-01-30,87.47,2348558,85.9,87.965,85.545
2019-01-29,85.67,2265104,84.7,85.76,84.6
2019-01-28,84.6,2754381,83.17,85.2,83.1
2019-01-25,84.14,4745121,84.7,85.17,83.55
2019-01-24,84.03,4704666,84.5,85.69,83.715
2019-01-23,82.88,3916282,83.7,84.9593,82.63
